,code,name,reservedPerShare,bvps,perundp,trade,total,end
526,601872,招商轮船,1.39,2.92,0.64,5.63,4.95,0.68
2805,2541,鸿路钢构,6.6,10.92,3.07,21.28,20.59,0.69
1001,2060,粤 水 电,2.0,4.36,1.17,8.25,7.53,0.72
476,600894,广日股份,2.83,7.77,3.38,14.72,13.98,0.74
1544,600418,江淮汽车,2.81,7.1,2.49,13.14,12.4,0.74
1480,601377,兴业证券,2.14,4.72,1.16,8.76,8.02,0.74
2286,601222,林洋能源,2.59,4.59,0.91,8.84,8.09,0.75
847,600077,宋都股份,0.95,2.88,1.5,6.08,5.33,0.75
419,536,华映科技,5.56,7.5,0.8,14.63,13.86,0.77
606,726,鲁 泰Ａ,0.82,7.26,4.52,13.39,12.6,0.79
626,600596,新安股份,1.1,5.78,2.99,10.67,9.87,0.8
1263,600820,隧道股份,2.17,5.48,1.92,10.38,9.57,0.81
763,600246,万通地产,1.73,3.26,0.45,6.26,5.44,0.82
1967,601225,陕西煤业,0.74,3.26,1.26,6.08,5.26,0.82
961,600282,南钢股份,0.15,1.65,0.33,2.98,2.13,0.85
1275,429,粤高速Ａ,1.2,3.85,1.33,7.23,6.38,0.85
1537,600480,凌云股份,3.86,7.69,2.6,15.01,14.15,0.86
433,600496,精工钢构,0.22,2.42,1.12,4.62,3.76,0.86
494,600383,金地集团,0.73,7.22,5.0,13.82,12.95,0.87
1947,600863,内蒙华电,0.14,1.81,0.43,3.28,2.38,0.9
2387,601636,旗滨集团,0.54,2.14,0.61,4.19,3.29,0.9
796,601188,龙江交通,0.93,2.87,0.83,5.55,4.63,0.92
78,600569,安阳钢铁,1.45,2.03,-1.16,3.24,2.32,0.92
632,616,海航投资,0.14,3.05,1.69,5.81,4.88,0.93
109,600100,同方股份,3.12,7.65,3.08,14.8,13.85,0.95
142,601699,潞安环能,0.48,6.06,2.89,10.38,9.43,0.95
1703,966,长源电力,0.86,3.25,1.31,6.39,5.42,0.97
2323,2187,广百股份,2.67,7.4,3.07,14.12,13.14,0.98
2702,600335,国机汽车,2.15,6.72,3.22,13.1,12.09,1.01
426,1896,豫能控股,3.6,5.18,0.42,10.22,9.2,1.02
2634,301,东方市场,0.52,2.72,1.0,5.28,4.24,1.04
991,507,珠海港,1.0,3.29,1.11,6.44,5.4,1.04
915,600466,蓝光发展,0.95,4.38,1.91,8.29,7.24,1.05
2093,600121,郑州煤电,0.5,3.43,0.85,5.85,4.78,1.07
979,863,三湘印象,2.35,4.41,1.41,9.24,8.17,1.07
1080,625,长安汽车,0.67,8.37,5.97,16.08,15.01,1.07
872,608,阳光股份,0.68,3.97,1.91,7.64,6.56,1.08
2330,2087,新野纺织,1.28,3.53,1.11,7.01,5.92,1.09
690,300157,恒泰艾普,3.33,5.08,0.68,10.19,9.09,1.1
1655,2535,林州重机,2.34,3.68,0.24,7.36,6.26,1.1
208,601600,中国铝业,1.26,2.53,-0.31,4.6,3.48,1.12
731,600010,包钢股份,0.44,1.45,-0.02,3.0,1.87,1.13
2252,600397,安源煤业,1.88,2.83,-0.4,5.44,4.31,1.13
1472,603077,和邦生物,1.05,2.57,0.48,5.23,4.1,1.13
2406,2302,西部建设,1.02,4.02,1.9,8.08,6.94,1.14
1931,601899,紫金矿业,0.3,1.24,0.82,3.51,2.36,1.15
237,600307,酒钢宏兴,1.1,1.52,-0.79,2.98,1.83,1.15
2492,600403,大有能源,0.14,3.08,1.65,6.03,4.87,1.16
1102,600037,歌华有线,4.7,8.79,2.36,17.01,15.85,1.16
1571,600122,宏图高科,1.82,7.14,2.08,12.22,11.04,1.18
2046,600416,湘电股份,5.12,6.76,0.46,13.53,12.34,1.19
305,600060,海信电器,1.73,9.61,5.75,18.28,17.09,1.19
1186,601018,宁波港,0.67,2.62,0.8,5.3,4.09,1.21
2076,600926,杭州银行,3.06,14.74,5.59,24.63,23.39,1.24
2366,600356,恒丰纸业,3.1,6.61,2.01,12.96,11.72,1.24
148,600983,惠而浦,2.23,6.05,2.45,11.97,10.73,1.24
2152,600723,首商股份,1.25,5.15,2.45,10.1,8.85,1.25
2452,600665,天地源,0.23,2.85,1.26,5.59,4.34,1.25
2460,603123,翠微股份,3.31,5.51,0.96,11.04,9.78,1.26
2899,601880,大连港,0.23,1.36,0.08,2.95,1.67,1.28
2274,600970,中材国际,0.59,3.86,2.07,7.8,6.52,1.28
2946,899,赣能股份,2.49,4.9,1.1,9.78,8.49,1.29
1237,933,*ST神火,1.03,3.25,0.73,6.3,5.01,1.29
1147,600401,海润光伏,0.27,1.06,-0.21,2.42,1.12,1.3
1705,949,新乡化纤,1.35,2.83,0.34,5.82,4.52,1.3
2176,860,顺鑫农业,4.9,11.55,3.26,21.02,19.71,1.31
2345,601518,吉林高速,0.26,2.16,0.78,4.52,3.2,1.32
1011,600812,华北制药,2.13,3.26,0.01,6.72,5.4,1.32
1977,600297,广汇汽车,1.48,4.18,1.65,8.65,7.31,1.34
1253,300185,通裕重工,0.35,1.5,0.12,3.32,1.97,1.35
1983,600159,大龙地产,0.42,2.69,1.24,5.7,4.35,1.35
1575,600035,楚天高速,0.25,2.93,1.17,5.73,4.35,1.38
1993,600973,宝胜股份,1.73,3.9,1.04,8.05,6.67,1.38
1859,600018,上港集团,0.37,2.59,0.95,5.3,3.91,1.39
2320,600352,浙江龙盛,0.47,4.66,2.9,9.42,8.03,1.39
867,600057,象屿股份,3.0,5.51,1.44,11.35,9.95,1.4
151,564,西安民生,4.21,4.63,-0.6,9.64,8.24,1.4
1878,600256,广汇能源,0.13,2.13,0.82,4.5,3.08,1.42
1349,600396,金山股份,0.93,2.59,0.57,5.52,4.09,1.43
1496,600864,哈投股份,3.75,6.43,0.88,12.49,11.06,1.43
1539,600461,洪城水业,1.7,3.88,1.01,8.03,6.59,1.44
2491,600216,浙江医药,0.94,7.38,4.06,13.82,12.38,1.44
468,598,兴蓉环境,0.6,2.96,1.3,6.31,4.86,1.45
2444,557,西部创业,1.35,2.65,0.2,5.65,4.2,1.45
717,2419,天虹商场,2.14,6.79,3.15,13.54,12.08,1.46
2729,630,铜陵有色,0.08,1.46,0.28,3.28,1.82,1.46
2410,2233,塔牌集团,1.2,4.97,2.44,10.07,8.61,1.46
1314,601058,赛轮金宇,0.45,1.97,0.49,4.39,2.91,1.48
409,2004,华邦健康,2.69,4.78,1.01,9.96,8.48,1.48
727,601989,中国重工,1.3,3.33,0.75,6.94,5.38,1.56
131,600757,长江传媒,1.49,4.43,1.85,9.33,7.77,1.56
2564,600467,好当家,0.27,2.02,0.62,4.49,2.91,1.58
936,2305,南国置业,0.76,2.6,0.77,5.72,4.13,1.59
1369,671,阳 光 城,0.9,3.02,0.99,6.5,4.91,1.59
2106,600317,营口港,0.24,1.59,0.28,3.7,2.11,1.59
451,300082,奥克股份,2.52,3.98,0.35,8.46,6.85,1.61
1281,2263,大 东 南,0.45,1.54,0.08,3.7,2.07,1.63
1919,601369,陕鼓动力,1.12,3.66,0.95,7.37,5.73,1.64
1205,601997,贵阳银行,2.11,8.93,4.09,16.78,15.13,1.65
625,600210,紫江企业,0.25,2.77,1.02,5.71,4.04,1.67
693,786,北新建材,0.99,5.89,2.6,11.15,9.48,1.67
2392,600470,六国化工,2.42,3.96,0.25,8.3,6.63,1.67
806,600674,川投能源,0.92,4.5,1.97,9.07,7.39,1.68
1044,600736,苏州高新,1.51,4.35,1.6,9.14,7.46,1.68
669,601901,方正证券,2.0,4.31,0.95,8.95,7.26,1.69
792,600031,三一重工,0.07,3.07,1.78,6.61,4.92,1.69
614,2430,杭氧股份,1.06,4.23,1.79,8.8,7.08,1.72
2561,600157,永泰能源,0.73,1.9,0.14,4.5,2.77,1.73
2339,600500,中化国际,2.13,5.44,2.19,11.49,9.76,1.73
733,601155,新城控股,1.06,5.72,3.51,12.02,10.29,1.73
1888,600787,中储股份,1.62,4.1,1.02,8.47,6.74,1.73
437,601933,永辉超市,0.68,1.96,0.25,4.68,2.89,1.79
2504,600429,三元股份,2.85,3.86,-0.04,8.46,6.67,1.79
388,600125,铁龙物流,0.12,3.8,2.3,8.02,6.22,1.8
1089,600792,云煤能源,1.86,2.75,-0.25,6.16,4.36,1.8
2375,600143,金发科技,1.1,3.4,1.14,7.44,5.64,1.8
1708,886,海南高速,0.95,2.59,0.27,5.64,3.81,1.83
1874,601929,吉视传媒,0.29,1.99,0.45,4.56,2.73,1.83
