,code,trade
1169,300515,65.15
1170,300513,0.0
1171,300512,40.88
1172,300511,62.0
1173,300510,0.0
1174,300509,78.2
1175,300508,157.67
1176,300507,151.73
1177,300506,49.97
1178,300505,93.34
1179,300503,96.77
1180,300502,160.1
1181,300501,144.28
1182,300500,119.35
1183,300499,57.0
1184,300498,33.29
1185,300497,78.23
1186,300496,0.0
1187,300495,0.0
1188,300494,41.83
1189,300493,65.45
1190,300492,62.14
1191,300491,133.1
1192,300490,27.09
1193,300489,42.95
1194,300488,96.78
1195,300487,65.55
1196,300486,32.26
1197,300485,48.75
1198,300484,97.31
1199,300483,58.85
1200,300482,67.61
1201,300481,39.95
1202,300480,0.0
1203,300479,30.61
1204,300478,65.52
1205,300477,0.0
1206,300476,23.75
1207,300475,29.0
1208,300474,62.05
1209,300473,0.0
1210,300472,41.3
1211,300471,49.46
1212,300470,48.12
1213,300469,95.54
1214,300468,67.04
1215,300467,53.62
1216,300466,0.0
1217,300465,21.36
1218,300464,20.66
1219,300463,26.56
1220,300462,39.06
1221,300461,76.46
1222,300460,28.9
1223,300459,0.0
1224,300458,108.53
1225,300457,0.0
1226,300456,65.32
1227,300455,23.21
1228,300453,27.69
1229,300452,49.32
1230,300451,40.83
1231,300450,0.0
1232,300449,0.0
1233,300448,30.78
1234,300447,53.15
1235,300446,43.55
1236,300445,33.3
1237,300444,26.6
1238,300443,67.64
1239,300442,49.7
1240,300441,0.0
1241,300440,32.63
1242,300439,35.09
1243,300438,35.52
1244,300437,27.73
1245,300436,62.72
1246,300435,21.18
1247,300434,40.51
1248,300433,27.46
1249,300432,30.27
1250,300431,59.1
1251,300430,55.44
1252,300429,38.72
1253,300428,28.55
1254,300427,0.0
1255,300426,30.9
1256,300425,33.89
1257,300424,59.76
1258,300423,37.49
1259,300422,41.9
1260,300421,44.0
1261,300420,23.93
1262,300419,0.0
1263,300418,26.28
1264,300417,49.84
1265,300416,42.55
1266,300415,21.17
1267,300414,36.59
1268,300413,26.45
1269,300412,40.09
1270,300411,38.43
1271,300410,0.0
1272,300409,41.74
1273,300408,17.37
1274,300407,20.11
1275,300406,23.91
1276,300405,56.09
1277,300404,38.89
1278,300403,73.22
1279,300402,26.07
1280,300401,35.22
1281,300400,45.32
1282,300399,36.67
1283,300398,0.0
1284,300397,30.3
1285,300396,46.18
1286,300395,26.18
1287,300394,37.44
1288,300393,48.8
1289,300392,21.01
1290,300391,0.0
1291,300390,14.22
1292,300389,24.75
1293,300388,25.87
1294,300387,35.3
1295,300386,29.53
1296,300385,40.84
1297,300384,51.6
1298,300383,31.96
1299,300382,56.37
1300,300381,28.96
1301,300380,45.6
1302,300379,81.8
1303,300378,27.43
1304,300377,44.3
1305,300376,26.45
1306,300375,25.77
1307,300374,0.0
1308,300373,21.88
1309,300371,40.9
1310,300370,10.36
1311,300369,41.23
1312,300368,26.7
1313,300367,23.98
1314,300366,44.8
1315,300365,45.02
1316,300364,51.16
1317,300363,0.0
1318,300362,22.43
1319,300360,21.32
1320,300359,25.33
1321,300358,20.12
1322,300357,40.02
1323,300356,43.14
1324,300355,10.75
1325,300354,28.38
1326,300353,0.0
1327,300352,22.38
